TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;67,89;0,500000;8,35;91,86;0,74;69.929,48;1,53;13,18;-5,08;432.552.807,00;17.906,00;Passiva;4.709.082,00
AFHI11;97,80;1,050000;12,90;95,95;1,02;1.187.180,65;2,10;;;289.711.187,37;22.313,00;Ativa;3.019.453,00
AIEC11;68,79;0,760000;13,20;94,79;0,73;733.822,06;2,54;9,48;;457.355.067,47;15.564,00;Ativa;4.824.987,00
ALMI11;736,00;0,371133;0,00;2.030,94;0,36;50.133,59;2,24;;-14,49;225.793.787,83;2.367,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;95,50;0,709000;11,71;92,47;1,03;201.326,29;4,39;;;63.914.467,84;3.772,00;Ativa;691.192,00
ALZR11;116,88;0,825000;12,36;106,44;1,10;2.060.711,06;30,00;30,79;-5,82;1.049.505.903,99;139.441,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.617,53;0,96;3.466,00;1,41;;;1.719.470.359,03;62,00;Ativa;475.316,00
APTO11;9,93;0,100000;12,33;10,39;0,96;47.609,87;8,79;;;41.681.540,67;9.181,00;Ativa;4.012.857,00
APXM11;118,70;;0,00;95,10;1,25;173.924,65;16,67;;;167.379.884,46;255,00;;1.760.000,00
AQLL11;385,03;;0,00;980,41;0,39;;0,01;;-1,26;142.961.004,61;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,004300;0,00;1,07;;;0,49;;;172.335.466,72;51,00;Ativa;161.251.790,00
ARRI11;8,81;0,100000;15,32;9,00;0,98;300.934,06;2,49;3,73;2,84;117.478.338,91;27.459,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;5,88;101,48;1,01;2.945,70;2,37;;;49.935.288,14;63,00;Ativa;492.050,00
ASMT11;48,42;0,770000;9,54;84,24;0,57;12.668,90;2,65;;;85.699.208,49;495,00;Ativa;1.017.316,00
ASRF11;0,00;256,328699;0,00;9.997,23;;;100,03;;;23.993.347,80;55,00;Ativa;2.400,00
ATCR11;0,00;0,302644;0,00;85,01;;;0,52;;;78.966.948,98;33,00;Ativa;928.908,00
ATSA11;57,98;0,050000;0,52;81,87;0,71;2.534,69;1,48;1,98;-19,94;143.373.897,92;278,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;587,71;;;1,86;;;94.479.026,76;2,00;Passiva;160.757,00
AURB11;0,00;0,400000;0,00;82,94;;;1,60;;;73.036.842,34;5,00;Ativa;880.560,00
BARI11;83,67;0,600000;12,87;97,37;0,86;759.834,87;6,18;-11,08;-7,60;451.240.748,31;38.446,00;Ativa;4.634.191,00
BBFI11B;984,00;7,425908;24,32;2.147,67;0,46;176.507,61;7,95;-8,01;-25,87;279.197.329,42;8.141,00;Passiva;130.000,00
BBFO11;73,05;0,620000;11,16;82,73;0,88;340.577,74;0,40;;;331.238.334,63;5.767,00;Passiva;4.003.900,00
BBIM11;0,00;0,100000;0,00;31,36;;;2,50;-22,05;;32.454.158,63;20,00;Ativa;1.035.000,00
BBPO11;95,59;0,900000;11,38;99,86;0,96;1.950.207,87;3,56;-5,09;-11,84;1.589.767.576,61;74.723,00;Passiva;15.919.690,00
BBRC11;114,00;1,130000;10,88;108,05;1,06;120.016,55;5,05;4,62;-8,78;171.801.353,71;9.625,00;Passiva;1.590.000,00
BCFF11;71,81;0,560000;9,36;77,46;0,93;3.163.028,71;4,26;3,22;-7,59;1.950.882.562,14;302.111,00;Ativa;25.186.378,00
BCIA11;102,75;0,830000;9,14;110,18;0,93;823.836,61;3,50;7,12;-6,12;409.760.254,70;18.931,00;Ativa;3.719.038,00
BCRI11;69,80;0,800000;15,07;97,78;0,71;652.346,03;8,25;-8,45;-13,65;611.878.566,65;48.012,00;Ativa;6.257.873,00
BICE11;980,00;7,880000;13,43;987,76;0,99;27.531,00;7,33;;;89.204.724,32;115,00;Ativa;90.310,00
BICR11;82,03;0,520000;12,26;102,36;0,80;1.128,04;35,62;43,70;-6,37;51.182.080,30;529,00;Ativa;500.000,00
BIME11;7,45;0,080000;12,35;8,75;0,85;55.595,97;4,45;;;51.169.258,37;8.791,00;Ativa;5.845.602,00
BIPD11;0,00;10,380000;0,00;988,86;;;5,96;;;48.175.100,60;110,00;Ativa;48.718,00
BLCA11;124,51;0,570000;5,46;136,13;0,91;1.401,47;3,98;;;217.802.295,64;214,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,62;111,74;0,81;103.127,50;1,06;;-4,96;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;81,95;0,790000;12,47;100,37;0,82;17.288,24;10,75;;;40.097.779,50;446,00;Ativa;399.500,00
BLMG11;60,39;0,700000;15,07;87,59;0,69;562.645,29;1,06;;;333.768.702,70;13.661,00;Ativa;3.810.588,00
BLMO11;18.898,00;102,000000;4,08;33.385,52;0,57;293.719,33;2,29;;;126.764.811,09;93,00;Ativa;3.797,00
BLMR11;7,15;0,060000;10,98;8,12;0,88;400.472,68;0,86;;;207.511.287,43;19.089,00;Ativa;25.541.630,00
BLUR11;100,00;1,030000;12,36;95,34;1,05;1.630,69;3,84;;;8.580.360,32;103,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;471,14;;;0,87;;;67.703.080,78;12,00;Passiva;143.700,00
BMLC11;106,01;0,760000;11,42;110,81;0,96;34.252,61;17,32;20,48;4,63;110.629.236,31;1.505,00;Ativa;998.405,00
BNFS11;122,00;1,490392;14,55;91,78;1,33;132.406,19;6,35;12,49;-1,00;64.243.804,66;4.627,00;Ativa;700.000,00
BPFF11;72,10;0,620000;10,43;78,35;0,92;355.901,84;5,55;4,50;-3,96;351.989.535,10;18.670,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.934,18;;;3,49;;;317.893.761,16;114,00;Ativa;32.000,00
BPML11;76,40;0,270465;2,28;132,41;0,58;253.022,32;2,31;;-8,58;570.021.556,31;1.512,00;Passiva;4.305.079,00
BPRP11;96,10;0,900000;11,15;109,15;0,88;2.053,00;0,21;4,76;-8,14;147.332.908,30;174,00;Passiva;1.349.837,00
BRCO11;126,21;0,870000;7,32;120,85;1,04;3.273.300,74;4,06;8,91;-0,37;1.785.988.780,45;113.767,00;Ativa;14.778.781,00
BRCR11;62,47;0,410000;8,82;100,64;0,62;1.805.909,23;0,81;-0,82;-11,82;2.680.791.488,63;155.212,00;Ativa;26.638.202,00
BREV11;104,99;0,580000;7,73;117,73;0,89;183.450,34;3,25;8,81;3,38;113.864.559,59;332,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;71,27;1,22;;16,52;;;131.259.862,94;11,00;Ativa;1.841.677,00
BRIM11;1.030,22;28,910000;17,23;1.121,86;0,92;;4,02;;;139.264.314,34;222,00;Ativa;124.137,00
BRIP11;950,01;6,030000;12,88;1.170,97;0,81;1.583,33;1,13;;;252.314.860,96;253,00;Ativa;215.475,00
BRIX11;0,00;;0,00;1.022,03;;;6,92;;;100.154.419,41;54,00;Ativa;97.996,00
BRLA11;147,95;0,816167;8,75;156,79;0,94;169.913,25;0,05;;;495.911.210,39;275,00;Passiva;3.162.838,00
BROF11;67,51;0,530000;3,60;106,18;0,64;960.996,42;0,42;;;1.232.813.903,40;7.200,00;Ativa;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;2.755,43;;;202,61;;;5.510.860,87;12,00;Ativa;2.000,00
BTAL11;88,50;0,730000;10,92;104,59;0,85;861.272,58;2,70;;;625.743.281,02;44.569,00;Ativa;5.982.736,00
BTCI11;9,65;0,101000;12,83;10,30;0,94;2.236.659,06;12,80;10,27;-54,27;1.024.811.117,16;98.616,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;2,05;95,27;0,92;652.774,65;8,00;32,78;0,89;458.252.683,73;16.934,00;Ativa;4.810.097,00
BTLG11;104,75;0,760000;8,52;98,16;1,07;6.554.309,39;4,63;6,43;-0,30;2.067.981.417,09;224.480,00;Ativa;21.066.892,00
BTRA11;71,16;0,560000;13,41;119,02;0,60;626.440,26;8,01;;;400.439.049,61;21.761,00;Ativa;3.364.559,00
BTSG11;139,08;0,920000;7,57;137,73;1,01;1.321,00;0,82;;;106.746.178,22;64,00;Ativa;775.015,00
BTSI11;104,00;0,730000;6,21;122,02;0,85;45.700,00;0,06;;;257.872.154,20;107,00;Ativa;2.113.342,00
BTWR11;107,00;0,430000;6,04;111,90;0,96;428,00;0,99;;;90.558.210,00;66,00;Ativa;809.269,00
BVAR11;0,00;13,040000;0,00;1.055,35;;;0,93;10,61;;660.164.096,37;69,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;117,42;;;0,04;;;415.436.735,50;3,00;Ativa;3.538.046,00
BZLI11;17,00;;0,00;10,50;1,62;855,10;0,18;;3,80;446.563.350,42;19,00;Ativa;42.510.905,00
CACR11;105,29;1,430000;16,75;103,39;1,02;672.646,68;27,82;12,17;-2,18;186.873.763,85;11.308,00;;1.807.434,00
CARE11;1,83;0,008385;0,00;8,32;0,22;9.177,45;0,05;;-22,95;297.666.193,03;12.008,00;Ativa;35.769.919,00
CBOP11;31,75;0,120000;11,18;73,80;0,43;53.951,55;1,37;-17,36;-26,25;104.424.568,13;3.382,00;Passiva;1.415.000,00
CCLB11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
CCME11;108,39;0,900000;9,16;102,02;1,06;14.803,67;3,73;;;306.443.211,76;148,00;Ativa;3.003.830,00
CCRF11;96,55;1,075734;10,15;98,33;0,98;617.242,67;1,52;;;154.570.326,66;318,00;Ativa;1.571.900,00
CEOC11;48,84;0,434875;14,42;78,32;0,62;105.339,39;2,31;10,40;-15,63;142.200.308,68;4.856,00;Passiva;1.815.696,00
CFHI11;0,00;36,511390;0,00;649,22;;;3,58;;;61.416.447,92;54,00;Ativa;94.600,00
CFII11;0,00;;0,00;1.063,81;;;38,59;;;75.589.217,43;57,00;Ativa;71.055,00
CIXR11;0,00;;0,00;;;;;;;;;;2.834.551,00
CJCT11;67,50;0,080000;0,83;66,15;1,02;31.393,75;1,79;;4,00;207.716.568,66;1.145,00;Passiva;3.140.000,00
CJFI11;0,00;;0,00;2,82;;;2,40;;;148.172.766,80;1,00;Ativa;52.601.278,00
CNES11;23,35;0,073995;5,42;90,76;0,26;15.073,48;5,12;-12,36;-29,42;267.683.433,14;1.728,00;Ativa;2.949.248,00
COPP11;100,00;;0,00;100,61;0,99;5.650.000,00;1,15;;;159.273.624,66;14,00;Ativa;1.583.087,00
CPFF11;77,38;0,700000;8,44;83,99;0,92;416.132,71;0,05;-10,27;-0,27;214.439.976,69;10.240,00;Ativa;2.553.074,00
CPFO11;0,00;;0,00;31,43;;;2,66;;;89.099.931,59;528,00;Ativa;2.834.551,00
CPSH11;119,99;1,100000;1,83;115,13;1,04;17.928,00;1,12;;;259.904.912,03;216,00;;2.257.492,00
CPTS11;89,49;0,790000;10,38;90,97;0,98;8.432.014,35;2,09;-7,76;-2,07;2.891.181.369,43;228.373,00;Ativa;31.782.814,00
CRFF11;81,56;0,630000;9,15;90,37;0,90;38.621,97;11,73;12,50;-0,20;62.362.307,70;1.557,00;Ativa;690.040,00
CSMC11;0,00;20,665812;0,00;1.061,14;;;3,82;;;551.123.998,20;1,00;Ativa;519.370,00
CTNP11;0,00;;0,00;;;;;;;;;;0,00
CTXT11;12,62;0,010000;0,00;31,49;0,40;1.875,39;2,23;-23,80;-36,32;107.324.174,13;2.898,00;Passiva;3.408.174,00
CVBI11;92,40;0,900000;12,20;96,58;0,96;2.397.121,42;7,21;-5,56;0,67;1.063.338.891,97;80.329,00;Ativa;11.010.228,00
CVPR11;0,00;0,800000;0,00;100,58;;;8,08;;;14.081.160,90;2,00;Ativa;140.000,00
CXAG11;82,43;0,710000;11,15;115,55;0,71;129.163,32;0,34;;;241.567.834,64;11.823,00;Ativa;2.090.621,00
CXCE11B;42,50;0,416293;11,68;65,30;0,65;31.560,65;6,38;-23,23;-24,09;111.854.473,67;3.762,00;Passiva;1.712.950,00
CXCI11;89,40;0,850000;11,22;97,55;0,92;100.296,68;3,61;;;200.740.763,05;5.356,00;Ativa;2.057.726,00
CXCO11;78,39;0,738300;11,92;99,11;0,79;241.193,77;1,06;;;388.964.047,75;13.830,00;Passiva;3.924.500,00
CXRI11;81,70;0,570000;8,26;91,55;0,89;43.436,52;6,39;-1,20;-21,74;144.265.006,25;2.305,00;Ativa;1.575.760,00
CXTL11;293,00;1,989949;6,20;414,87;0,71;13.118,00;3,38;18,47;-4,65;22.235.708,87;764,00;Passiva;53.597,00
CYCR11;9,32;0,100000;13,16;9,83;0,95;297.928,32;12,81;;;160.381.714,53;13.345,00;Ativa;16.315.840,00
CYLD11;0,00;;0,00;100,76;;;31,80;;;103.993.452,70;46,00;Ativa;1.032.105,00
DAMT11B;19,02;0,081450;4,78;13,18;1,44;833,48;0,95;;;96.266.043,23;581,00;Passiva;7.305.341,00
DEVA11;40,20;0,470000;21,97;96,22;0,42;2.479.747,87;2,63;;;1.351.401.436,46;137.685,00;Ativa;14.044.908,00
DLMT11;0,00;0,004929;0,00;0,64;;;4,33;;;8.509.714,12;9,00;Ativa;13.225.796,00
DMAC11;13,00;4,894618;0,00;4,99;2,61;;105,14;;-67,79;778.257,90;2.352,00;Passiva;156.108,00
DOMC11;439,00;;0,00;99,17;4,43;;0,56;;-2,18;242.344.280,94;1.185,00;Ativa;2.443.800,00
DOVL11B;1.200,69;9,525611;6,87;1.182,69;1,02;33.619,00;5,21;17,11;;78.537.574,20;60,00;Ativa;66.406,00
DPRO11;92,99;0,650000;11,97;96,80;0,96;2.131,25;1,76;;;35.963.741,09;146,00;Ativa;371.522,00
DRIT11B;91,00;0,290000;8,45;132,63;0,69;931,67;18,13;23,93;-13,78;61.446.184,81;353,00;Ativa;463.277,00
DVFF11;85,40;0,800000;10,48;96,09;0,89;113.705,42;5,65;;;105.791.331,18;696,00;Ativa;1.100.950,00
EDFO11B;187,55;1,763585;11,08;180,72;1,04;6.222,94;1,78;6,64;-11,10;42.649.779,25;543,00;Passiva;236.000,00
EDGA11;20,00;0,070000;6,78;61,24;0,33;35.479,68;1,03;-9,50;-12,88;233.462.987,56;5.571,00;Passiva;3.812.055,00
EGYR11;8,35;;0,00;123,68;0,07;10.643,10;0,00;;;93.361.078,71;25,00;Passiva;754.861,00
ELDO11B;762,38;0,410000;13,05;1.439,57;0,53;;0,25;-1,49;;1.133.307.436,46;60,00;Passiva;787.256,00
EQIR11;9,70;0,110000;23,81;9,91;0,98;224.988,03;2,23;;;49.815.807,79;5.754,00;Ativa;5.025.000,00
ERCR11;76.000,00;139,449698;0,18;57.113,15;1,33;;0,23;;;135.700.836,15;10,00;Passiva;2.376,00
ERPA11;120,00;0,720000;7,04;136,44;0,88;72.425,83;1,05;;;68.348.147,51;361,00;Passiva;500.922,00
ESTQ11;0,00;;0,00;0,05;;;40,81;;;3.154.407,53;5,00;Ativa;65.361.974,00
EURO11;246,50;1,880000;9,06;325,24;0,76;40.495,65;1,54;10,36;4,81;124.873.196,46;2.429,00;Passiva;383.936,00
EVBI11;98,00;0,750000;9,30;98,00;1,00;217.567,35;7,28;;;211.079.442,48;1.047,00;Ativa;2.153.893,00
EXES11;88,00;1,051868;9,88;92,66;0,95;2.992,00;39,57;;;44.225.425,80;53,00;Ativa;477.269,00
FAED11;163,38;1,514257;11,42;217,63;0,75;142.134,90;1,75;8,79;-8,03;139.756.822,13;4.690,00;Passiva;642.168,00
FAGL11;0,00;;0,00;;;;;;;;;;3.000.000,00
FAMB11B;1.014,98;9,160000;0,00;2.905,33;0,35;99.019,79;0,40;-9,82;-31,08;309.002.614,25;2.636,00;Passiva;106.357,00
FARU11;0,00;;0,00;;;;;;;;;;8.000.000,00
FATN11;93,25;0,850000;10,90;99,63;0,94;390.407,97;1,58;10,02;-2,51;126.514.231,52;2.317,00;Ativa;1.269.818,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
FCFL11;116,20;0,780000;8,22;116,22;1,00;159.354,39;0,67;9,63;1,39;403.741.891,82;3.634,00;Ativa;3.474.010,00
FGPM11;0,00;;0,00;;;;;;;;;;0,00
FIGS11;62,62;0,450000;8,26;75,95;0,82;181.496,84;0,97;23,87;-0,19;216.457.542,22;15.034,00;Passiva;2.850.000,00
FIIB11;516,00;3,750000;8,18;461,60;1,12;181.881,32;1,05;5,25;1,54;316.198.267,73;16.703,00;Passiva;685.000,00
FIIP11B;174,52;1,440000;9,44;203,21;0,86;87.307,94;1,17;8,57;-2,62;188.411.207,67;7.747,00;Passiva;927.162,00
FINF11;0,00;0,252589;0,00;40,77;;;2,37;-1,89;;33.439.698,24;4,00;Ativa;820.112,00
FISC11;165,00;0,440000;2,63;115,22;1,43;;1,77;;21,79;195.865.393,97;62,00;Ativa;1.699.996,00
FISD11;0,00;6,526269;0,00;66,52;;;10,82;;;71.343.896,64;24,00;Ativa;1.072.588,00
FIVN11;4,00;;0,00;7,68;0,52;17.530,03;0,00;;-3,27;72.272.338,99;3.927,00;Passiva;9.412.630,00
FLCR11;96,40;0,950000;13,24;98,91;0,97;73.379,06;16,16;;;62.671.125,84;2.780,00;Ativa;633.604,00
FLMA11;139,98;0,820000;7,71;159,81;0,88;74.572,19;1,36;24,73;-1,80;220.651.347,80;15.624,00;Ativa;1.380.670,00
FLRP11;1.980,00;13,500000;8,09;1.824,88;1,09;19.060,96;1,89;43,79;13,12;119.040.327,27;781,00;Passiva;65.232,00
FMOF11;56,98;0,150000;0,81;119,01;0,48;44.706,75;1,44;17,86;-14,76;60.456.521,21;269,00;Passiva;508.008,00
FOFT11;123,00;1,900000;0,00;110,21;1,12;;5,10;-47,71;;131.819.480,59;3.846,00;Ativa;1.196.040,00
FPAB11;206,32;0,900000;10,21;374,15;0,55;10.819,97;4,59;5,04;-13,35;280.610.759,95;967,00;Passiva;750.000,00
FPNG11;80,01;0,460000;10,37;164,03;0,49;240,00;2,09;11,12;;236.871.137,46;68,00;Ativa;1.444.104,00
FRHY11;0,00;1,030000;0,00;69,13;;;9,99;;;9.021.142,22;7,00;Ativa;130.500,00
FTCE11B;2.900,89;112,959603;6,86;2.851,98;1,02;14.753,00;4,10;;;2.764.153.469,92;57,00;Ativa;969.205,00
FVBI11;94,97;0,369573;0,00;0,00;;;;142,93;;0,00;0,00;Passiva;0,00
FVPQ11;124,90;1,200000;9,50;192,38;0,65;72.939,55;2,20;3,90;-8,59;538.683.307,17;3.940,00;Passiva;2.800.149,00
GALG11;9,08;0,084000;10,85;9,14;0,99;1.275.176,48;4,39;;;525.520.215,45;71.893,00;Ativa;57.485.300,00
GAME11;9,21;0,100000;13,03;9,98;0,92;159.198,71;0,74;;;216.606.162,93;23.313,00;Ativa;21.697.677,00
GCFF11;69,30;0,750000;7,39;77,51;0,89;87.694,83;4,26;;;27.939.468,78;1.759,00;Ativa;360.477,00
GCOI11;98,99;0,805870;0,81;97,86;1,01;98.990,00;11,30;;;11.057.904,41;357,00;Ativa;113.000,00
GCRI11;89,00;1,000000;13,37;95,93;0,93;222.238,45;4,16;;;139.469.473,13;3.815,00;Ativa;1.453.859,00
GESE11B;1.520,00;14,706525;11,07;1.761,50;0,86;;1,43;7,58;;91.597.974,62;55,00;Passiva;52.000,00
GGRC11;116,62;0,950000;10,28;113,70;1,03;1.260.447,87;4,31;10,12;-7,16;924.826.543,16;105.137,00;Ativa;8.134.118,00
GLOG11;68,15;0,630000;12,34;106,81;0,64;79.779,68;1,76;;;80.106.473,28;3.158,00;Ativa;750.000,00
GLPL11;0,00;;0,00;;;;;;;;;;0,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;-8,40;6.407.890,29;2.604,00;Passiva;1.073.530,00
GSFI11;7,88;;0,00;14,25;0,55;869.725,03;0,85;;42,73;1.071.517.626,29;6.905,00;Ativa;75.198.136,00
GTLG11;63,99;0,840000;11,16;60,62;1,06;22.885,25;100,03;;;434.811.690,70;341,00;Ativa;7.173.000,00
GTWR11;85,45;0,790000;10,92;95,06;0,90;989.363,55;1,22;4,70;-9,16;1.140.706.652,02;29.125,00;Ativa;12.000.000,00
GURB11;105,00;0,700000;2,81;111,16;0,94;1.998.501,00;5,20;;;126.189.048,78;19,00;Ativa;1.135.160,00
GVBI11;0,00;;0,00;;;;;;;;;;1.500.000,00
